,Id,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
120,5121,21,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
121,5122,21,Female,State,50%,Yes,Yes,Bus,0,Sometimes,Yes,Yes,Yes,No,Fail
122,5123,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
123,5124,22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
124,5125,18,Female,State,75%,Yes,Yes,Bus,0,Always,No,No,Yes,Yes,BB
125,5126,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
126,5127,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,6,Yes,BB
127,5128,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
128,5129,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
129,5130,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
130,5131,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
131,5132,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
132,5133,18,Female,Private,100%,No,Yes,Private,0,Always,No,Yes,No,No,BB
133,5134,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
134,5135,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
135,5136,22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
136,5137,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
137,5138,18,Female,Private,100%,No,Yes,Private,0,Always,Yes,No,No,Yes,BA
138,5139,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,No,Yes,Yes,Fail
139,5140,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
140,5141,22,Female,State,50%,Yes,Yes,Private,0,Always,No,Yes,No,Yes,CC
141,5142,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
142,5143,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
143,5144,22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
144,5145,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
